number,state,value,latent_dim,hidden1,hidden2,recon_mse,silhouette,calinski,davies,n_clusters_found,noise_ratio,largest_cluster_size,smallest_cluster_size,largest_share,size_ratio,penalty_small_k,penalty_imbalance,penalty_tiny_cluster,objective_value,batch_size,epochs,lr,algo,n_clusters,gmm_covariance_type,gmm_reg_covar,birch_threshold,birch_branching_factor,dbscan_eps,dbscan_min_samples,dbscan_metric,agglo_linkage,agglo_metric,spectral_affinity,spectral_n_neighbors,spectral_gamma
178,TrialState.COMPLETE,1360.5144623877072,2,128,64,0.014858869800648308,0.579486072063446,1466.5001220703125,0.4368267916161008,12.0,0.0,22.0,2.0,0.14102564102564102,11.0,0.0,1.2992829841302609,1.0,1360.5144623877072,32.0,104.0,0.00014112153210277687,agglo,12.0,,,,,,,,ward,,,,
55,TrialState.COMPLETE,1349.633116498396,2,256,32,0.015532502448964784,0.5587839484214783,1364.3125,0.4452548158463267,12.0,0.0,25.0,4.0,0.16025641025641027,6.25,0.0,0.7339691750802005,0.0,1349.633116498396,32.0,116.0,0.00011402597362575282,agglo,12.0,,,,,,,,ward,,,,
287,TrialState.COMPLETE,1348.2560619634228,2,256,32,0.015540295455978128,0.5575858950614929,1368.6890869140625,0.4604696103078376,12.0,0.0,25.0,3.0,0.16025641025641027,8.333333333333334,0.0,1.0216512475319814,0.0,1348.2560619634228,32.0,117.0,0.00011296536210855655,agglo,12.0,,,,,,,,ward,,,,
126,TrialState.COMPLETE,1347.8481119584271,2,256,32,0.0157145040742211,0.5638555884361267,1360.85986328125,0.4509146951363838,12.0,0.0,23.0,4.0,0.14743589743589744,5.75,0.0,0.6505875661411494,0.0,1347.8481119584271,32.0,96.0,0.00011267100665632945,agglo,12.0,,,,,,,,ward,,,,
236,TrialState.COMPLETE,1339.592677811572,2,256,32,0.01555463953792233,0.5178928971290588,1342.2633056640625,0.5173851292265782,12.0,0.0,24.0,7.0,0.15384615384615385,3.4285714285714284,0.0,0.13353139262452257,0.0,1339.592677811572,32.0,131.0,0.00011953246894644242,kmeans,12.0,,,,,,,,,,,,
265,TrialState.COMPLETE,1337.7650745062085,3,256,32,0.014484713988969868,0.5516945123672485,1352.4444580078125,0.46481793959013934,12.0,0.0,25.0,4.0,0.16025641025641027,6.25,0.0,0.7339691750802005,0.0,1337.7650745062085,8.0,99.0,0.00010792378575817783,agglo,12.0,,,,,,,,ward,,,,
189,TrialState.COMPLETE,1337.0032822025953,2,256,32,0.015607964574920936,0.5372488498687744,1359.702880859375,0.45126898585418185,12.0,0.0,28.0,3.0,0.1794871794871795,9.333333333333334,0.0,1.1349799328389845,0.0,1337.0032822025953,32.0,125.0,0.00010034728882809658,agglo,12.0,,,,,,,,ward,,,,
118,TrialState.COMPLETE,1335.1911607777947,2,256,32,0.015546822304840774,0.5294488072395325,1438.2447509765625,0.5038307449001652,12.0,0.0,19.0,2.0,0.12179487179487179,9.5,0.0,1.1526795099383853,1.0,1335.1911607777947,32.0,135.0,0.00011558762463258305,kmeans,12.0,,,,,,,,,,,,
249,TrialState.COMPLETE,1329.7163980912396,2,256,32,0.014621157822413031,0.5460070371627808,1342.7281494140625,0.45558121399120693,12.0,0.0,23.0,4.0,0.14743589743589744,5.75,0.0,0.6505875661411494,0.0,1329.7163980912396,16.0,104.0,0.00013994715829929318,agglo,12.0,,,,,,,,ward,,,,
299,TrialState.COMPLETE,1323.6894973907004,2,256,32,0.01545970968963876,0.5531095862388611,1345.6617431640625,0.4470023733006847,12.0,0.0,27.0,3.0,0.17307692307692307,9.0,0.0,1.0986122886681098,0.0,1323.6894973907004,32.0,140.0,0.00010833976884124876,agglo,12.0,,,,,,,,ward,,,,
271,TrialState.COMPLETE,1321.1837739111447,2,256,32,0.015594679691287573,0.5413196682929993,1427.16943359375,0.4669966897124709,12.0,0.0,22.0,2.0,0.14102564102564102,11.0,0.0,1.2992829841302609,1.0,1321.1837739111447,32.0,121.0,0.00012464152252134159,agglo,12.0,,,,,,,,ward,,,,
125,TrialState.COMPLETE,1314.245353416328,2,256,32,0.015614437607303485,0.5489898920059204,1333.8619384765625,0.46787913545871557,12.0,0.0,24.0,3.0,0.15384615384615385,8.0,0.0,0.9808292530117262,0.0,1314.245353416328,32.0,106.0,0.00011254014327420743,agglo,12.0,,,,,,,,ward,,,,
276,TrialState.COMPLETE,1313.344331779426,2,256,32,0.015481584790972943,0.5238755345344543,1327.207275390625,0.45632874894397446,12.0,0.0,24.0,4.0,0.15384615384615385,6.0,0.0,0.6931471805599453,0.0,1313.344331779426,32.0,124.0,0.00012617417598315896,agglo,12.0,,,,,,,,ward,,,,
179,TrialState.COMPLETE,1311.5704954956657,2,128,64,0.014800930389828946,0.5808245539665222,1418.4451904296875,0.42844533501273374,12.0,0.0,23.0,2.0,0.14743589743589744,11.5,0.0,1.3437347467010947,1.0,1311.5704954956657,32.0,103.0,0.0001466911709309645,agglo,12.0,,,,,,,,ward,,,,
54,TrialState.COMPLETE,1311.2767718800926,2,256,32,0.015772944791609077,0.5225919485092163,1416.33203125,0.4572567508140967,12.0,0.0,21.0,2.0,0.1346153846153846,10.5,0.0,1.252762968495368,1.0,1311.2767718800926,32.0,108.0,0.00011337585772098635,agglo,12.0,,,,,,,,ward,,,,
138,TrialState.COMPLETE,1309.9971508306103,2,256,32,0.01579272485717307,0.5465505123138428,1330.43017578125,0.4891161074363277,11.0,0.0,25.0,3.0,0.16025641025641027,8.333333333333334,0.0,1.0216512475319814,0.0,1309.9971508306103,32.0,88.0,0.0001220823998884352,agglo,11.0,,,,,,,,ward,,,,
289,TrialState.COMPLETE,1293.4338959814572,2,256,32,0.015567780795579871,0.5214534401893616,1399.4195556640625,0.4953685225127435,12.0,0.0,22.0,2.0,0.14102564102564102,11.0,0.0,1.2992829841302609,1.0,1293.4338959814572,32.0,119.0,0.00012484902273927095,agglo,12.0,,,,,,,,ward,,,,
284,TrialState.COMPLETE,1289.315618811604,2,256,32,0.015562027796553211,0.5436164140701294,1300.5079345703125,0.47568403527883674,12.0,0.0,21.0,4.0,0.1346153846153846,5.25,0.0,0.5596157879354227,0.0,1289.315618811604,32.0,117.0,0.00010524464862369925,agglo,12.0,,,,,,,,ward,,,,
