,RMSE,MAE
RBLX,14.175207851922428,12.822531410343739
RCL,40.35528143861668,29.345463937158744
REGN,261.28854529839947,198.2039084250097
RKT,6.634909497008032,5.470847851663663
ROST,13.806245623245367,10.261646439357357
RSG,33.49993977909475,29.134985191387365
RTX,20.289567872556617,17.927032049189616
SBUX,15.949800108941346,13.335948417199909
SCCO,14.164430956697805,12.008662439841592
SCHW,11.722967305612011,10.09615889702054
SHW,30.982865599329774,25.287149165875345
SLB,21.387539497236784,18.834636055962157
SNOW,85.12175397880222,78.29564523433453
SNPS,99.24505039374665,78.3668384868137
SO,11.607959236057653,10.103715327563206
SPG,10.103410888075885,7.979263263512712
SPGI,30.091500689793065,24.145587900066896
SRE,6.204505323515486,5.095969900900488
SYK,42.15354753664481,38.980668547403745
T,5.324573994930348,4.033906752233348
TDG,180.47843147287833,170.8468265428069
TFC,3.6300177572755143,2.582644931519229
TJX,15.125649162857496,12.870209056369507
TMO,106.36231004043755,71.67939496962406
TMUS,47.67103650854783,36.388654677248795
TRV,36.152566411212106,32.505501004213784
TSLA,82.71812087838325,75.55912721749827
TXN,16.754672510390222,13.237763294198892
UBER,7.169094702954202,5.6092952707195805
UNH,90.14938837480955,60.30115133886179
UNP,44.89737492078622,37.9348838764001
UPS,42.024898712646554,35.87793662139724
USB,8.93011400635052,7.419023081742598
V,33.473297521855926,24.813011590947102
VRT,37.40278585380495,32.34884748933065
VRTX,30.657135394118068,26.508019884646927
VST,73.89235637764764,63.43412966227663
VZ,2.6211671835484736,2.32006611481556
WBD,4.666687555803799,4.419011152910264
WDAY,77.90764141854648,69.92308626122238
WDC,7.5104122435121,5.873493837388181
WELL,32.983077900380074,26.708375309053707
WFC,10.221072411112088,8.246594529125572
WM,21.064699062763847,19.61053310836876
WMB,12.550140586180143,10.35477220946254
WMT,25.70811417024563,21.72510491682021
XOM,8.639866860832356,7.176264178028423
ZTS,54.14288220110488,47.35660375942842
