,WAPE,MAPE,MAE,RMSE
MO,1.6716831073642675,1.689025449885306,0.8297645568847656,0.9807212258532655
MPLX,6.220966224720133,6.070899214439147,2.9739850362141937,3.4579836282259624
MRK,5.981381474477392,6.411025833297688,5.485269419352212,8.03417265267315
MRVL,5.761561845039739,5.741381272611267,6.5665443420410154,7.684482168661824
MS,5.475617813248396,5.366819378742462,7.179401143391928,8.064044712113656
MSFT,2.6724814098392673,2.669002687040719,11.2146260579427,13.229386246786579
MSI,1.3529797049563554,1.367611100949952,6.247580973307286,8.847287424461717
MU,9.773789156229752,9.380580631655677,9.41353098551432,11.65484858389846
NDAQ,2.896546940255819,2.8573145487822313,2.2874237060546876,2.6460149433135447
NEE,4.484168006383756,4.53821891940223,3.0480969746907554,3.5125069869678436
NEM,7.819754912315573,7.560185132844238,3.2480475107828783,3.764952777112331
NET,18.47481257347247,16.61803428292553,24.743562825520833,32.28182288439043
NFLX,7.1098277025249255,6.939078134285598,6.706148274739584,7.50316735799474
NKE,4.858401415044343,4.941123866349773,3.474360148111979,3.991551510011543
NOC,2.7052086685034085,2.704501613415197,12.660865275065108,16.078943748019196
NOW,4.982462780120234,5.039239734015634,10.49931793212891,12.217301804823851
NSC,3.686901404878168,3.612740290050672,8.97963053385417,10.696305189828989
NVDA,5.968918214512903,6.155943164210938,7.965849558512372,9.778468893974203
ORCL,3.6005627304557297,3.630173060864762,6.0132812499999995,7.865719683708931
ORLY,5.210025091441528,5.06395087767201,4.3944547017415365,5.384860793359451
PANW,3.212616906207967,3.2310351620985833,5.9355560302734345,7.393123612667432
PCAR,2.810081275665986,2.7854177476365196,2.9621780395507806,3.4135276825745997
PEP,4.74480709292831,4.786870899464759,6.711763509114584,7.383598564404105
PFE,1.775460161653066,1.7917251574000672,0.4397929509480797,0.5548083763832968
PG,2.65327811514943,2.7031380860556165,4.278403727213542,5.338687981018895
PGR,2.672984358583458,2.607275825100496,6.547991434733076,8.649912413664286
PH,3.512043884724121,3.442035937958974,23.299153645833332,27.778060141784632
PLD,6.627864639206479,6.417504445656559,7.334159342447917,8.681534764454728
PLTR,15.19898883115656,13.272197923009003,13.062771097819011,18.782696819102153
PM,6.374198214418143,5.9105530198552225,8.066180674235024,11.746190012670072
PNC,1.8013445207456038,1.7884285266808926,3.4525385538736892,4.07888813883731
PWR,5.778330744302847,5.771194581762586,18.2702392578125,21.731463766048044
PYPL,5.649812353474956,5.883604566939601,4.801626586914063,5.779386450334438
QCOM,6.945260042676183,6.832686181015407,11.350704956054688,12.511231338929242
RBLX,9.40355301816308,9.156559975223862,6.206031545003255,7.043426237236106
RCL,5.966382796063392,5.669688954048276,14.611221822102863,19.092751573702788
REGN,6.014757034952538,6.108178510784044,41.530625406901045,48.19332875477605
RKT,4.462502548764566,4.522578420109662,0.5052424430847169,0.6005831834827542
ROST,3.905740875616778,3.9977874497816277,5.720366923014323,7.291877102876593
