,WAPE,MAPE,MAE,RMSE
CI,2.3516904672845627,2.3029798133949075,6.659097290039062,8.764154257740396
CL,4.632340490808085,4.662006075801214,3.9877840677897134,4.3060474340129336
CMCSA,4.970469395432316,5.156857496474741,1.736103057861328,2.296507178276588
CME,1.9668236876152396,1.9337217071886341,4.556155395507818,6.09974801964537
CMI,2.636282058690907,2.6132228566367113,9.363821411132815,10.437042341852905
COF,6.876180436271588,6.693889368898796,13.224827575683598,15.314260292794604
COIN,6.106654029941474,5.926731169381859,17.025514221191404,21.239710192366026
COP,2.37487866384899,2.367660010416822,2.3280672709147114,2.773139398187008
COR,6.828256463476501,6.730006137553649,16.56181640625,18.123009000476728
COST,5.532707888488562,5.251800801233939,53.7386515299479,74.62722929325426
CRM,3.574560818787353,3.612851932762663,11.80060729980469,13.591521678781342
CRWD,9.71374337428014,9.195148271423289,37.71739705403647,46.95621172576024
CSCO,2.4598200751030563,2.4018026554746204,1.4675373077392577,1.9769513295837362
CSX,0.9381617797538999,0.9347921781760996,0.30222791035970065,0.3988068704713595
CTAS,5.402452925207032,5.332307915695524,10.598844401041664,11.510896906532729
CVNA,13.143679992163777,12.56550892016006,30.892423502604167,35.00464596642817
CVS,13.832906335048593,13.092043679643147,7.194285583496094,8.510043163265763
CVX,4.669026977404463,4.61925179036048,6.884173075358073,7.634930286165676
DASH,7.0220031595966494,6.704870596611092,12.920602925618489,16.43720181629746
DE,6.4468465716104575,6.280989583799598,29.050111897786472,33.22385674548017
DELL,7.868573319590545,8.092709524106265,8.562734985351565,9.769295299792256
DHR,6.591022666930463,6.886938494388656,14.941121927897136,17.87241112430342
DIS,2.8216931781477124,2.850400138683585,3.083726501464848,3.7049751536713407
DUK,2.0178389743312244,1.9840062651658243,2.1567334493001296,2.803180671038782
ECL,3.7183839984912845,3.6095178886377486,8.990761820475253,11.608932340159585
ELV,4.025049881633913,3.9775477692969705,15.466689046223973,17.39438152334459
EMR,2.512265780304662,2.5317384330350223,3.0978744506835953,3.553881549242725
EOG,4.434100165385261,4.359800074513495,5.621474711100259,6.755158725272753
EPD,4.911200371999008,4.8764372230151825,1.5258850733439133,1.6219732688786404
EQIX,2.8109377524329626,2.8398590315633543,25.45147094726563,29.421348166891715
ET,2.576155651006256,2.530008817025824,0.48462117513020847,0.6228427914166031
F,3.18048690306898,3.2909662667975135,0.2911231676737467,0.4198938705524628
FCX,3.9675681678351147,4.05130604946046,1.4968410491943358,1.8252223664667926
FDX,5.829402625180336,5.965248231818581,15.303091430664065,18.295121296603575
FTNT,4.5850171224433565,4.391094992761438,4.585338083902993,6.151718880475899
GD,2.721448911594919,2.7720457640251976,6.959740702311199,8.975226811011133
GE,11.25397517198932,10.810411057397946,21.488336690266927,24.92801039758179
GILD,3.1062270415260653,3.0068976976869224,2.867620086669922,4.001841436165721
GLW,5.782826081435021,5.61285984346751,2.8733896891276043,3.4753153277261117
GM,7.864140706687636,8.121259899649642,3.918180720011393,4.71273127772447
GOOG,2.8508718605893537,2.8325654565989584,5.543520100911452,6.5654919631269255
GS,6.9517042550305215,6.779198450002561,42.37203776041667,48.20467036870666
HCA,3.4876809996758755,3.4017651123588872,11.010789998372394,13.896347353109588
HD,3.1118232385560622,3.0667726478226376,12.33794657389323,14.336608053796631
HLT,2.8814091495848326,2.808055580981927,7.288768005371095,9.550461486191322
HON,4.928751734361658,5.063073000703227,9.937670389811196,12.55994940443333
HOOD,22.277764239401982,21.020880513210365,11.014720789591472,12.58891484742001
HWM,9.66415468993848,9.451247943327278,11.890607198079428,13.093636328782909
IBKR,12.426693392341312,11.83429336264934,6.415376536051432,7.553305009391751
IBM,5.905487903799878,5.483156924139532,13.640765889485676,20.085669190023665
ICE,4.526352566488387,4.407201845965783,6.9914393107096355,8.47635377431681
IDXX,3.976543058159722,3.8295989520953166,17.35399169921875,23.748905320774917
INTC,5.125288525319794,5.097088867999815,1.045610109965006,1.2292862325892255
