,WAPE,MAPE,MAE,RMSE
BLK,3.9810652807431746,4.042108873619587,39.2543212890625,45.8206737792853
BMY,2.4479659654045576,2.4138999219123747,1.3509020487467447,1.736077987900727
BRK-B,2.0269803466835516,2.010651376169196,9.407979329427091,10.891356153795146
BSX,10.255832431770893,10.03320777388316,10.28212153116862,11.338480853161732
BX,3.6655129037116323,3.7257878531440016,6.2071492513020825,7.763775555530143
C,9.827529433470072,9.5878523499776,7.534563446044922,8.39763682091066
CAT,3.7432550243323957,3.6503252773224935,13.76153055826823,17.830978741542317
CDNS,2.2578462006502122,2.2387525408524733,6.814909871419271,8.945544061282071
CEG,22.90959609142591,22.328278479959053,68.30388895670573,72.57254922596172
CI,1.9512438796820173,1.908607778396148,5.525184122721354,7.71316654353651
CL,4.469769338048634,4.499692268823265,3.847833506266276,4.196726453921544
CMCSA,4.676149378476627,4.85904438591308,1.6333019256591794,2.203694171486887
CME,1.957269918037477,1.9237049307789644,4.5340240478515685,6.084093085420439
CMI,2.6090878608437906,2.587648018477802,9.267230224609376,10.328926821045057
COF,7.193822581348365,7.003236011010561,13.835742696126307,15.991774638481266
COIN,5.358644109378822,5.220455001877877,14.940042622884116,18.61331663817775
COP,2.166323960066618,2.1639101047455735,2.1236234029134096,2.601452445253183
COR,6.552796685936091,6.456693383023168,15.893693542480467,17.470312778407383
COST,5.007087880618448,4.745679586988308,48.63335571289061,68.52140774051016
CRM,3.459489265027936,3.4954056516585155,11.42072448730469,13.236573122439646
CRWD,10.120690786534043,9.594986743462263,39.29752909342449,48.462718403719286
CSCO,2.430353001900643,2.374217102706968,1.4499571482340494,1.9410984902419477
CSX,0.9473359085008453,0.9490744666698421,0.3051833470662434,0.392203170242685
CTAS,5.387488324404357,5.3214371850671665,10.569485982259112,11.39541218372963
CVNA,13.343969438457371,12.740719425037344,31.36317647298177,35.529740176620734
CVS,13.543531271882566,12.845345819213241,7.043785985310873,8.271691345448014
CVX,4.767169499577696,4.716875252486583,7.028877766927083,7.781135628107389
DASH,7.244823412201457,6.922459203186565,13.330595906575521,16.86217843728381
DE,6.518985531340481,6.351461039315833,29.37517700195314,33.55715026696873
DELL,7.480564590874616,7.699582532189455,8.140496317545574,9.322606643350133
DHR,6.750101650554425,7.0684341045413515,15.301736450195312,18.491618822948144
DIS,2.143980089747007,2.172296509506053,2.3430783589681012,2.9805032068602597
DUK,2.1946108528798134,2.159710567241304,2.3456731160481765,2.957123082613598
ECL,3.4774827579259293,3.3782033300937218,8.408281453450515,10.844835790090235
ELV,3.773955317501876,3.7326822018143613,14.501831054687516,16.16378011521169
EMR,2.4819919718042387,2.4899452518156515,3.0605438232421878,3.5762333489313716
EOG,4.557084073503859,4.486479759247349,5.777391560872394,6.759572697673241
EPD,4.688393412800547,4.655253526015997,1.4566600799560552,1.5528254838255287
EQIX,2.864581224458981,2.893558877595715,25.937182617187503,29.839913965024348
ET,2.5403176180691234,2.494840513754639,0.47787939707438165,0.6170270091470409
F,3.4867716429981868,3.6087176365530595,0.3191586812337239,0.4537661974883797
FCX,4.129739597087566,4.209567378999216,1.5580233256022133,1.8659887938266309
FDX,5.920602329029784,6.052966730949739,15.542504882812501,18.336512671300337
FTNT,4.326959218649665,4.1460835022313445,4.327262115478514,5.85052342663665
