,WAPE,MAPE,MAE,RMSE
LOW,2.3683988421401003,2.3251566296091406,5.9572184244791675,7.737066387949182
LRCX,7.109643298577822,6.9741221302984675,5.576121520996094,6.230271340020126
MA,3.7270710202806567,3.661403571716044,20.042913818359374,23.74388060735426
MAR,2.5448074598176427,2.51286073646774,7.162709554036458,8.675417086850478
MCD,2.3867410771410347,2.377158716631915,6.791424560546878,8.16546529220411
MCK,1.761019562933754,1.7518518902891835,10.411063639322917,11.79388678728008
MCO,3.0455939820871905,2.998108795400253,14.758143107096355,18.108224177169664
MDLZ,4.641401725329486,4.692219705915395,2.6366854349772137,2.935499141526786
MET,2.0695690480209965,2.0440993571540136,1.698375447591146,2.09505734315355
META,10.254778637180202,9.845570868955793,67.44810384114584,79.89540800513663
MMC,2.5283018697237094,2.4774185954427757,5.458604431152337,6.866706502020904
MMM,10.008187448964428,9.721061743568155,14.201588185628255,16.142686318230492
MNST,8.300129368557121,8.439200571659475,4.077604548136394,4.507840855716163
MO,1.6842915619640373,1.7015556033520531,0.83602294921875,0.9851440329195978
MPLX,6.280638997497846,6.129659446208011,3.0025121053059904,3.487971854362547
MRK,5.996737479766277,6.427555469941819,5.499351755777994,8.056283473249447
MRVL,5.755693111020902,5.7335838263903876,6.559855651855469,7.664856706381283
MS,5.365945842850072,5.260317864663612,7.035603841145834,7.899075134022592
MSFT,2.719227906902169,2.7179442552261768,11.410789998372389,13.476336419686662
MSI,1.3592048520759041,1.375249539818931,6.276326497395828,8.915273310723055
MU,9.537431482067802,9.138986963339187,9.185885365804035,11.538013951466658
NDAQ,2.8951686314169334,2.8559298642562507,2.286335245768229,2.645427338417309
NEE,4.43128892169389,4.484825046679428,3.012152608235677,3.4748903738223165
NEM,7.5722053706766,7.316737753516097,3.1452242533365893,3.6615525670462525
NET,18.356595827408533,16.503098595449305,24.585233561197917,32.12761549299021
NFLX,7.037987286547053,6.875848561272122,6.638386789957682,7.403506117990709
NKE,4.8789545297854,4.961417821751979,3.489058176676432,4.000598902200182
NOC,2.6741897475724037,2.67426877510672,12.515691121419275,15.970784133723608
NOW,5.093523492008419,5.15878972591041,10.73335113525391,12.52358573833606
NSC,3.7202975626750336,3.6456263796108273,9.06096852620443,10.781249342080239
NVDA,5.997498442994012,6.186115126597935,8.003991444905601,9.812234609609733
ORCL,3.620896577028828,3.6590630508314015,6.047240702311197,7.900988587926327
ORLY,5.037947146094371,4.895298012101698,4.2493136088053385,5.224419598143212
PANW,3.1450446796657596,3.174171643750565,5.810711161295572,7.252276092762361
PCAR,2.7581839213825594,2.7353623095766437,2.9074717203776035,3.3375955405844664
PEP,4.783220074946359,4.825417477372449,6.766100565592448,7.441908118932102
PFE,1.8040080447613773,1.8205356061730995,0.44686444600423203,0.5616338388908807
PG,2.5981719501352716,2.647847038840764,4.189545186360677,5.26324703857906
PGR,2.660643746426142,2.5952490896384828,6.517760721842451,8.612428567065757
PH,3.371590036774338,3.3042877892945124,22.367372639973958,26.73725138891996
PLD,6.596830589116016,6.387145686421173,7.299818166097006,8.644267930331582
PLTR,15.07033292060401,13.180991345930051,12.952197774251301,18.599551713746965
PM,6.376027423163092,5.9144210437543325,8.068495432535805,11.715184251979757
PNC,1.7776092764110323,1.7648961882001872,3.407046508789054,4.029190904098559
PWR,5.803266164604582,5.799481919713975,18.349081420898436,21.78989283157492
PYPL,5.661541822930298,5.910701419434254,4.811595153808594,5.888389679919513
QCOM,6.962436777962152,6.849845752646931,11.37877705891927,12.537183305703556
RBLX,9.305863513187706,9.061478897876368,6.141559727986654,6.976668595557936
RCL,5.900858746089581,5.607653373088708,14.450758361816405,18.88276343759957
REGN,6.195735719738911,6.291441323352305,42.78024495442708,49.533406479870095
RKT,4.38673389667026,4.441064934893803,0.4966639518737794,0.5885069855153535
ROST,3.839167169714574,3.930383036264838,5.622862752278646,7.201175891166419
RSG,5.260794813487702,5.1578339317392485,11.186666870117188,12.902575886464485
RTX,5.671641139748764,5.534783603367333,6.8752370198567725,8.06199313380588
SBUX,9.237931889477329,8.706891412058146,9.177737935384114,11.749751526338256
SCCO,2.8239678623435416,2.8070868094648636,2.528466796875,2.9086265587480704
SCHW,5.334079711113555,5.1982290241985405,4.165567016601562,4.812451326415073
SHW,2.5528154248509676,2.540045133795202,8.936055501302086,9.821192719044927
