number,state,value,latent_dim,hidden1,hidden2,recon_mse,silhouette,calinski,log_calinski,davies,n_clusters_found,noise_ratio,largest_cluster_size,smallest_cluster_size,largest_share,size_ratio,penalty_small_k,penalty_imbalance,penalty_tiny_cluster,objective_value,batch_size,epochs,lr,algo,n_clusters,agglo_linkage,agglo_metric,birch_threshold,birch_branching_factor,dbscan_eps,dbscan_min_samples,dbscan_metric,gmm_covariance_type,gmm_reg_covar,spectral_affinity,spectral_gamma,spectral_n_neighbors
655,TrialState.COMPLETE,-11.972288997933973,14,64,64,0.022557714954018593,0.5198147296905518,747.7687377929688,6.618430174549542,0.5128638128261045,7.0,0.0,38.0,5.0,0.2375,7.6,0.0,0.9295359586241757,0.0,-11.972288997933973,128.0,77.0,0.00012819819783151326,agglo,7.0,ward,,,,,,,,,,,
530,TrialState.COMPLETE,-12.009950693052179,14,64,64,0.023040156811475754,0.517350971698761,720.09326171875,6.5807684794313355,0.5111275547564584,7.0,0.0,38.0,5.0,0.2375,7.6,0.0,0.9295359586241757,0.0,-12.009950693052179,128.0,52.0,0.00021669180001793778,gmm,7.0,,,,,,,,spherical,1.0029256903949435e-06,,,
11,TrialState.COMPLETE,-12.056343410424791,16,256,64,0.01325367484241724,0.36043962836265564,131.90223693847656,4.889613797319282,0.8354741355486942,6.0,0.0,42.0,6.0,0.2625,7.0,0.0,0.8472978603872037,0.0,-12.056343410424791,128.0,116.0,0.0001101863016358818,birch,6.0,,,0.12258296707745533,98.0,,,,,,,,
826,TrialState.COMPLETE,-12.072542796705731,13,64,64,0.019277360290288925,0.4986182749271393,676.342041015625,6.518176375777783,0.5940502202105372,7.0,0.0,38.0,5.0,0.2375,7.6,0.0,0.9295359586241757,0.0,-12.072542796705731,64.0,54.0,0.00014732305873561897,gmm,7.0,,,,,,,,spherical,1.1798592625668566e-06,,,
663,TrialState.COMPLETE,-12.135090632819992,16,256,64,0.0159503985196352,0.4056740403175354,214.78533935546875,5.374284114258008,0.7651902130951038,7.0,0.0,36.0,5.0,0.225,7.2,0.0,0.8754687373538999,0.0,-12.135090632819992,64.0,49.0,0.00017137007517402535,gmm,7.0,,,,,,,,spherical,2.5296956117208686e-06,,,
180,TrialState.COMPLETE,-12.215369369865936,14,64,64,0.023086633533239365,0.42976146936416626,586.1907958984375,6.375349802617577,0.5973432844978458,7.0,0.0,38.0,5.0,0.2375,7.6,0.0,0.9295359586241757,0.0,-12.215369369865936,128.0,53.0,0.00021250893793118528,gmm,7.0,,,,,,,,full,1.3916993682295485e-05,,,
200,TrialState.COMPLETE,-12.2292086738215,14,64,64,0.028048280626535416,0.5356215834617615,855.113037109375,6.75240242012142,0.49941967812683274,8.0,0.0,31.0,4.0,0.19375,7.75,0.0,0.949080554697146,0.0,-12.2292086738215,128.0,51.0,0.0001744485847683861,gmm,8.0,,,,,,,,spherical,1.9353604262514983e-05,,,
507,TrialState.COMPLETE,-12.285455263736939,14,64,64,0.020660031586885452,0.4466109871864319,546.446044921875,6.305263908746574,0.6401040997698136,7.0,0.0,38.0,5.0,0.2375,7.6,0.0,0.9295359586241757,0.0,-12.285455263736939,64.0,52.0,0.00014883267317363462,gmm,7.0,,,,,,,,spherical,2.2193380113811847e-06,,,
292,TrialState.COMPLETE,-12.454414082818822,14,64,64,0.02062293328344822,0.5376619100570679,776.291015625,6.655814817729905,0.5065582347608663,7.0,0.0,39.0,5.0,0.24375,7.8,0.0,0.9555114450274363,0.0,-12.454414082818822,64.0,48.0,0.00016170384137071365,gmm,7.0,,,,,,,,spherical,4.689534484053156e-06,,,
742,TrialState.COMPLETE,-12.46570383703332,14,64,64,0.018067723140120506,0.5344971418380737,767.56494140625,6.644525063515406,0.5286017453530839,7.0,0.0,39.0,5.0,0.24375,7.8,0.0,0.9555114450274363,0.0,-12.46570383703332,64.0,53.0,0.00018143908437913002,gmm,7.0,,,,,,,,spherical,0.0014883820287319941,,,
509,TrialState.COMPLETE,-12.511382279822884,15,64,64,0.016145795583724976,0.49175578355789185,519.094482421875,6.254010492035723,0.6112366078578229,6.0,0.0,46.0,6.0,0.2875,7.666666666666667,0.0,0.9382696385929304,0.0,-12.511382279822884,128.0,157.0,0.00016320303332986217,gmm,6.0,,,,,,,,spherical,0.008114961692574325,,,
